contains,edition,collection,price,patch,repeat,release_date
"Melee, Phantom",Limited,Champions 2022,6167,5.04,0,"Aug 23, 2022"
"Melee, Ghost, Spectre, Phantom, Odin",Premium,"Reaver, EP 5",7100,5.03,0,"Aug 10, 2022"
"Classic, Operator, Stinger, Phantom, Bucky",Premium,Run It Back 3 Bundle,5950,5.01,1,"Jul 27, 2022"
"Frenzy, Vandal, Phantom, Spectre, Melee",Deluxe,Sarmad,5100,5.01,0,"July 14, 2022"
"Melee, Vandal, Operator, Shorty, Stinger",Exclusive,Prelude to Chaos,8700,5,0,"June 22, 2022"
"Frenzy, Phantom, Bucky, Odin, Melee",Premium,Xenohunter,7100,4.11,0,June 8 2022
"Vandal, Shorty, Guardian, Spectre, Melee",Premium,Neptune,7100,4.1,0,May 25 2022
"Vandal, Ares, Bucky, Frenzy, Melee",Deluxe,Titanmail,5100,4.09,0,"May 10, 2022"
"Phantom, Guardian, Stinger, Frenzy, Classic",Exclusive,"RGX 11z Pro, EP 4",8700,4.08,0,"Apr 27, 2022"
"Phantom, Stinger, Shorty, Marshal, Ares",Premium,Doodle Buds,6992,4.07,0,"Apr 12, 2022"
"Vandal, Operator, Ares, Bulldog, Ghost",Select,Endeavour,2930,4.05,0,"Mar 31, 2022"
"Vandal, Phantom, Operator, Judge, Frenzy",Deluxe,Team Ace,5616,4.04,0,"Mar 16, 2022"
"Vandal, Marshal, Guardian, Ghost, Melee",Premium,Gaia's Vengeance,7100,4.04,0,"Mar 1, 2022"
"Phantom, Bulldog, Judge, Classic, Melee",Premium,Undercity,7100,4.03,0,"Feb 16, 2022"
"Phantom, Spectre, Operator, Shorty, Melee",Deluxe,Tigris,5100,4.02,0,"Feb 1, 2022"
"Phantom, Bulldog, Sheriff, Spectre, Melee",Ultra,Protocol 781-A,9900,4,0,"Jan 11, 2022"
"Ghost, Operator, Vandal, Odin, Spectre",Premium,Run It Back 2 Bundle,5945,3.12,1,"Dec 22, 2021"
"Melee, Classic, Judge, Phantom, Ares",Deluxe,Snowfall,5100,3.12,0,"Dec 8, 2021"
"Melee, Vandal",Limited,Champions 2021,6263,3.1,0,"Nov 24, 2021"
"Melee, Sheriff, Guardian, Operator, Ares",Premium,"Magepunk, EP 3",7100,3.1,0,"Nov 17, 2021"
Sheriff,Limited,Arcane,2377,3.09,0,"Nov 5, 2021"
"Melee, Classic, Bucky, Spectre, Phantom",Premium,Radiant Crisis 001,7100,3.09,0,"Nov 2, 2021"
"Melee, Frenzy, Bulldog, Vandal, Ares",Deluxe,Nunca Olvidados,5100,3.08,0,"Oct 20, 2021"
"Melee, Frenzy, Stinger, Guardian, Vandal",Exclusive,RGX 11z Pro,8700,3.07,0,"Oct 6, 2021"
