Episode Name,Episode,Act,Type,Start
Episode 01: IGNITION,1,1,Normal,June 2nd 2020
Episode 01: IGNITION,1,2,Normal,August 4th 2020
Episode 01: IGNITION,1,3,Normal,October 13th 2020
Episode 02: FORMATION,2,1,Normal,January 12th 2021
Episode 02: FORMATION,2,2,Normal,March 2nd 2021
Episode 02: FORMATION,2,3,Normal,April 27th 2021
Episode 03: REFLECTION,3,1,YR 1 Anniversary,June 22nd 2021
Episode 03: REFLECTION,3,2,Normal,September 8th 2021
Episode 03: REFLECTION,3,3,RiotX Arcane,November 2nd 2021
Episode 04: DISRUPTION,4,1,Lunar Celebration Event,February 1st 2022
Episode 04: DISRUPTION,4,2,Normal,March 1st 2022
Episode 04: DISRUPTION,4,3,Normal,April 28th 2022
Episode 05: DIMENSION,5,1,Crossover,June 22nd 2022
Episode 05: DIMENSION,5,2,Champions,August 23rd 2022
