,Unnamed: 0,team,points,players,date_start
0,0.0,['Liquid'],['(707 points)'],"['nitr0', 'NAF', 'EliGE', 'oSee', 'YEKINDAR']",24/10/2022
1,1.0,['Nouns'],['(39 points)'],"['cynic', 'Bwills', 'cxzi', 'nosraC', 'jeorgesnorts']",24/10/2022
2,2.0,['EG White'],['(30 points)'],"['djay', 'Jonji', 'ben1337', 'PwnAlone', 'viz']",24/10/2022
3,3.0,['EG Black'],['(23 points)'],"['RUSH', 'stanislaw', 'Walco', 'wiz', 'chop']",24/10/2022
4,4.0,['Iron Blood'],['(21 points)'],"['droid', 'shane', 'dare', 'snav', 'intra']",24/10/2022
5,5.0,['Vendetta'],['(18 points)'],"['Momo', 'consti', 'WOOHOO', 'Tender', 'Pluto']",24/10/2022
6,6.0,['Victorum'],['(14 points)'],"['SolGoat', 'AtomiK', 'Slugy', 'Drew', 'Izik']",24/10/2022
7,7.0,['Davenport University'],['(13 points)'],"['swicher', 'CoJoMo', 'Pugg', 'spek', 'corn']",24/10/2022
8,8.0,['Mythic'],['(11 points)'],"['freakazoid', 'fl0m', 'tweiss', 'Cooper', 'hate']",24/10/2022
9,9.0,['X13'],['(11 points)'],"['seziwana', 'Feral', 'Andrew', 'Austin', 'Gonzo']",24/10/2022
10,10.0,['Magic School Bus'],['(11 points)'],"['Slash', 'VulcaN', 'cypress', 'FAME', 'Swqft']",24/10/2022
11,11.0,['Kari'],['(10 points)'],"['Cryptic', 'micro', 'freshie', 'niise', 'Florence']",24/10/2022
12,12.0,['Take Flyte'],['(8 points)'],"['zander', 'Umar', 'farg', 'Penguin', 'Grizz']",24/10/2022
13,13.0,['Villainous'],['(8 points)'],"['shutout', 'BeaKie', 'tatm', 'zebra']",24/10/2022
14,14.0,['Red Wolves'],['(8 points)'],"['Fatality', 'sam', 'K4mr0', 'Shawta', 'Locke']",24/10/2022
15,15.0,['Task Force 141'],['(7 points)'],"['Wolffe', 'LEARSI', 'landmaz', 'jermanji']",24/10/2022
16,16.0,['Limitless'],['(7 points)'],"['stamina', 'Makzwell', 'scar', 'kmrn', 'JBa']",24/10/2022
17,17.0,['Unjustified'],['(7 points)'],"['Just2EZ', 'tENSKI', 'Cyrix', 'jsfeltner']",24/10/2022
18,18.0,['Vireo.pro'],['(7 points)'],"['Champ', 'nguyen', 'Grave', 'emokie', 'cbass']",24/10/2022
19,19.0,['Snakes Den'],['(6 points)'],"['ChwE', 'DJF', 'Pr0mise', 'Reason', 'Pat_']",24/10/2022
20,20.0,['REIGN'],['(6 points)'],"['jchancE', 'Gabe', 'Fugi', 'xaler', 'mds']",24/10/2022
21,21.0,['Earlybirds'],['(5 points)'],"['insane', 'AJaxz', 'doltn', 'xCAPE', 'g0ne']",24/10/2022
22,22.0,['DU Black'],['(4 points)'],"['arcade', 'tactile', 'BeBO', 'N07', 'RiFT']",24/10/2022
23,23.0,['Touch Point'],['(3 points)'],"['gir', 'Livid', 'Drewtheshrew', 'PoseidoNN', 'Beastman']",24/10/2022
24,24.0,['LAG'],['(2 points)'],"['GRAHAM', 'taiwi', 'garret', 'garfield']",24/10/2022
25,25.0,['EG Gold'],['(2 points)'],"['milk', 'Jesscas', 'garden', 'PiggyKiki', 'empathy']",24/10/2022
26,26.0,['All Gas No Brakes'],['(1 points)'],"['Stx', 'davd', 'febreeze']",24/10/2022
