,Unnamed: 0,date,event,map,team_1,team_2
0,0.0,24/10/22,CCT North Europe Series 1,['Ancient'],Entropiq (14),1WIN (16)
1,1.0,24/10/22,CCT Central Europe Series 3,['Vertigo'],ECLOT (16),FTW (12)
2,2.0,24/10/22,CCT Central Europe Series 3,['Inferno'],FTW (16),ECLOT (14)
3,3.0,24/10/22,WePlay Academy League Season 6,['Mirage'],Flames Ascent (10),MOUZ NXT (16)
4,4.0,24/10/22,CCT Central Europe Series 3,['Nuke'],SC (6),HAVU (16)
5,5.0,24/10/22,CCT Central Europe Series 3,['Mirage'],HAVU (16),SC (12)
6,6.0,24/10/22,CCT South Europe Series 1,['Ancient'],Tricked (3),Monte (16)
7,7.0,24/10/22,CCT South Europe Series 1,['Mirage'],Tricked (6),Monte (16)
8,8.0,24/10/22,CCT North Europe Series 1,['Nuke'],1WIN (16),Tricked (11)
9,9.0,24/10/22,CCT North Europe Series 1,['Dust2'],Tricked (8),1WIN (16)
10,10.0,24/10/22,ESL Impact League Season 2 South America,['Nuke'],Black Dragons fe (9),B4 fe (16)
11,11.0,24/10/22,ESL Impact League Season 2 South America,['Dust2'],B4 fe (16),Black Dragons fe (2)
12,12.0,24/10/22,Aorus League 2022 Season 3,['Overpass'],DNG (20),Isurus (22)
13,13.0,24/10/22,Aorus League 2022 Season 3,['Mirage'],Isurus (16),DNG (3)
14,14.0,23/10/22,BLAST Premier Fall Showdown 2022 North America,['Nuke'],MIBR (13),Fluxo (16)
15,15.0,23/10/22,BLAST Premier Fall Showdown 2022 North America,['Vertigo'],Fluxo (5),MIBR (16)
16,16.0,23/10/22,BLAST Premier Fall Showdown 2022 North America,['Dust2'],MIBR (12),Fluxo (16)
17,17.0,23/10/22,CBCS Elite League 2022 Season 2,['Ancient'],SWS (14),Meta BR (16)
18,18.0,23/10/22,CBCS Elite League 2022 Season 2,['Vertigo'],Meta BR (16),SWS (13)
19,19.0,23/10/22,CBCS Elite League 2022 Season 2,['Mirage'],SWS (16),Meta BR (9)
20,20.0,23/10/22,BLAST Premier Fall Showdown 2022 Europe,['Nuke'],Astralis (10),Heroic (16)
21,21.0,23/10/22,BLAST Premier Fall Showdown 2022 Europe,['Ancient'],Heroic (22),Astralis (20)
22,22.0,24/10/22,Elisa Invitational Fall 2022,['Vertigo'],Bad News Eagles (6),EYEBALLERS (16)
23,23.0,24/10/22,WePlay Academy League Season 6,['Overpass'],MIBR Academy (10),Astralis Talent (16)
24,24.0,24/10/22,Epic GOCL Season 1,['Nuke'],Enterprise (16),SINNERS (19)
25,25.0,24/10/22,CCT South Europe Series 1,['Ancient'],forZe (8),Copenhagen Flames (16)
26,26.0,24/10/22,CCT North Europe Series 1,['Mirage'],Entropiq (16),IKLA (12)
27,27.0,24/10/22,CCT North Europe Series 1,['Dust2'],IKLA (20),Entropiq (22)
28,28.0,24/10/22,Elisa Invitational Fall 2022,['Ancient'],ex-Finest (19),Sprout (16)
29,29.0,24/10/22,Elisa Invitational Fall 2022,['Mirage'],Sprout (16),ex-Finest (11)
30,30.0,24/10/22,Elisa Invitational Fall 2022,['Vertigo'],ex-Finest (16),Sprout (12)
31,31.0,24/10/22,CCT Central Europe Series 3,['Overpass'],ONYX (10),Wolsung (16)
32,32.0,24/10/22,CCT Central Europe Series 3,['Dust2'],ONYX (16),Wolsung (14)
33,33.0,24/10/22,CCT Central Europe Series 3,['Mirage'],Wolsung (16),ONYX (12)
